7,5361483371833D+00 -2,5601889387641D-02 3,4358128551878D-02 -4,2996440295432D-03 -4,2659726635201D-03 1,9062247117307D-04
8,0590753200563D+00 -2,6708119034423D-02 3,5226312253594D-02 -4,1794846206308D-03 -4,1460084104424D-03 1,9270018809797D-04
8,5861116145940D+00 -2,7742357040813D-02 3,5985582191290D-02 -3,9941110758264D-03 -4,0497510531049D-03 1,9936302154486D-04
9,1175581594428D+00 -2,8685664277490D-02 3,6629641856245D-02 -3,7562366640929D-03 -3,9860910528727D-03 2,0164986179004D-04
9,6537253322841D+00 -2,9527812369062D-02 3,7156700047368D-02 -3,4785776405787D-03 -3,9442868702259D-03 2,0602316750097D-04
1,0194932949834D+01 -3,0264976750929D-02 3,7566825026894D-02 -3,1732957580814D-03 -3,9204940554720D-03 2,0805846241199D-04
1,0741509712608D+01 -3,0897877442700D-02 3,7863388949320D-02 -2,8515236793762D-03 -3,9033989179893D-03 2,1058890925490D-04
1,1293797646815D+01 -3,1430260053264D-02 3,8051443220168D-02 -2,5230928563268D-03 -3,8850266713975D-03 2,1306363918004D-04
1,1852147662465D+01 -3,1867744330194D-02 3,8138103495000D-02 -2,1963451619787D-03 -3,8599244872972D-03 2,1408951552964D-04
1,2416926216211D+01 -3,2216966713242D-02 3,8131542128801D-02 -1,8781077279390D-03 -3,8203002826581D-03 2,1616740496170D-04
1,2988511979931D+01 -3,2484955830736D-02 3,8040947218642D-02 -1,5737313069688D-03 -3,7654271730445D-03 2,1683290789288D-04
1,3567296951195D+01 -3,2678723044346D-02 3,7875905513056D-02 -1,2871985716608D-03 -3,6919064826140D-03 2,1807741443505D-04
1,4153690895173D+01 -3,2805011219221D-02 3,7646241313159D-02 -1,0213940869319D-03 -3,6008433159446D-03 2,1899269106088D-04
1,4748120234153D+01 -3,2870182726171D-02 3,7361664239510D-02 -7,7833411944152D-04 -3,4939522134070D-03 2,1919518049067D-04
1,5351026937070D+01 -3,2880208375306D-02 3,7031624516169D-02 -5,5942945104288D-04 -3,3711767027470D-03 2,2080998707328D-04
1,5962875182352D+01 -3,2840664747556D-02 3,6665102723006D-02 -3,6577241379149D-04 -3,2383919131222D-03 2,2027364853630D-04
1,6584148026499D+01 -3,2756765902531D-02 3,6270519689548D-02 -1,9822992897948D-04 -3,0935267522788D-03 2,2199710575934D-04
1,7215351845978D+01 -3,2633326569148D-02 3,5855580857085D-02 -5,7498838013327D-05 -2,9437321535347D-03 2,2102329638871D-04
1,7857014116276D+01 -3,2474739855946D-02 3,5427216207892D-02 5,5968232747091D-05 -2,7851682746315D-03 2,2327631006209D-04
1,8509690074749D+01 -3,2284913992330D-02 3,4991495620065D-02 1,4205158329356D-04 -2,6268712448726D-03 2,2176196615590D-04
1,9173960499670D+01 -3,2067256317674D-02 3,4553601562619D-02 2,0103628068295D-04 -2,4627980990601D-03 2,2458342656779D-04
1,9850437262604D+01 -3,1824682071616D-02 3,4117826365002D-02 2,3363394252351D-04 -2,3038715911779D-03 2,2290664473163D-04
2,0539759996984D+01 -3,1559664624337D-02 3,3687599521990D-02 2,4094328894049D-04 -2,1432563713737D-03 2,2562181522027D-04
2,1242601650485D+01 -3,1274326361963D-02 3,3265528651028D-02 2,2433512766874D-04 -1,9911686725076D-03 2,2436874422597D-04
2,1959675147870D+01 -3,0970577604678D-02 3,2853448641041D-02 1,8535662589027D-04 -1,8418155374242D-03 2,2641212482933D-04
2,2691728949093D+01 -3,0650210003633D-02 3,2452478992711D-02 1,2565889935221D-04 -1,7018743042136D-03 2,2605358421645D-04
2,3439549270251D+01 -3,0314852432497D-02 3,2063064775823D-02 4,7008366469753D-05 -1,5677198620798D-03 2,2750084771584D-04
2,4203971188324D+01 -2,9965932529892D-02 3,1685014856113D-02 -4,8568578473864D-05 -1,4426544239984D-03 2,2785932374865D-04
2,4985874199283D+01 -2,9604683606062D-02 3,1317548313592D-02 -1,5883554437515D-04 -1,3261284675458D-03 2,2790069560970D-04
2,5786184439036D+01 -2,9232205861019D-02 3,0959354513315D-02 -2,8148189735363D-04 -1,2162150558451D-03 2,2945169909799D-04
2,6605892451025D+01 -2,8849481924536D-02 3,0608675020063D-02 -4,1417663782266D-04 -1,1161881428364D-03 2,2882831486812D-04
2,7446035418628D+01 -2,8457209212600D-02 3,0263369130089D-02 -5,5440273564108D-04 -1,0216929232356D-03 2,3006425861275D-04
2,8307717153709D+01 -2,8055659910519D-02 2,9920973941892D-02 -6,9920180853068D-04 -9,3648150787009D-04 2,2963071497210D-04
2,9192112538509D+01 -2,7644715506236D-02 2,9578742583063D-02 -8,4508794374570D-04 -8,5833145314103D-04 2,3060767994027D-04
3,0100460862805D+01 -2,7224018422973D-02 2,9233698820078D-02 -9,8828835644291D-04 -7,9208690336443D-04 2,2930513729778D-04
3,1034085812452D+01 -2,6793169643977D-02 2,8882716242494D-02 -1,1252225880234D-03 -7,3394067562647D-04 2,3038333486738D-04
3,1994386585585D+01 -2,6351969660871D-02 2,8522638404483D-02 -1,2531081348281D-03 -6,8879743430574D-04 2,2876317447823D-04
3,2982853439264D+01 -2,5900487383313D-02 2,8150418079793D-02 -1,3701625844574D-03 -6,5116713375869D-04 2,2860097826410D-04
3,4001076573274D+01 -2,5438841637301D-02 2,7763223750845D-02 -1,4751351362617D-03 -6,2181630384071D-04 2,2743067344113D-04
3,5050743909174D+01 -2,4967241192419D-02 2,7358524253898D-02 -1,5671495527645D-03 -5,9844693441525D-04 2,2568657429858D-04
3,6133654415996D+01 -2,4486407167066D-02 2,6934066935138D-02 -1,6461490805500D-03 -5,7732245426047D-04 2,2418823326179D-04
3,7251722552138D+01 -2,3997429872168D-02 2,6487809388442D-02 -1,7127623788390D-03 -5,5624226388993D-04 2,2137487354531D-04
3,8406993812017D+01 -2,3500999032201D-02 2,6017799313838D-02 -1,7672677280261D-03 -5,3044490957662D-04 2,1908764403343D-04
3,9601646947015D+01 -2,2996978397543D-02 2,5522062567437D-02 -1,8087961531892D-03 -5,0109243243031D-04 2,1519558427451D-04
4,0838005070223D+01 -2,2484595991640D-02 2,4998625005353D-02 -1,8351954688345D-03 -4,6641104243358D-04 2,1242250244520D-04
4,2118546761197D+01 -2,1963023328878D-02 2,4445842872924D-02 -1,8437134251676D-03 -4,3163636099792D-04 2,0746975788031D-04
4,3445910507846D+01 -2,1431737386510D-02 2,3863011703867D-02 -1,8319391696429D-03 -3,9531453995786D-04 2,0402060775562D-04
4,4822912474035D+01 -2,0890360809588D-02 2,3250811390059D-02 -1,7986730056450D-03 -3,6307558682765D-04 1,9870198799822D-04
4,6252564267178D+01 -2,0338195083337D-02 2,2611180579025D-02 -1,7442168207336D-03 -3,3453569078512D-04 1,9423298416965D-04
4,7738064054441D+01 -1,9774237485873D-02 2,1946791054713D-02 -1,6699158727161D-03 -3,1371194656324D-04 1,8892574956002D-04
4,9282814330334D+01 -1,9198779666738D-02 2,1260423820648D-02 -1,5790760575694D-03 -2,9902378257693D-04 1,8354431376421D-04
5,0890448568109D+01 -1,8614102708335D-02 2,0554477611832D-02 -1,4774316137523D-03 -2,8513177818702D-04 1,7781151155753D-04
5,2564813452162D+01 -1,8022650627528D-02 1,9830829639775D-02 -1,3703161395467D-03 -2,6582091965098D-04 1,7204195304901D-04
